,name,books,world,groups,universe
114,Ashertmarn,The Stormlight Archive,Roshar,Unmade,Cosmere
115,Ashgress,Elantris,Sel,NA,Cosmere
116,Ashir,The Stormlight Archive,Roshar,NA,Cosmere
117,Ashlv,The Stormlight Archive,Roshar,NA,Cosmere
118,Ashno,The Stormlight Archive,Roshar,NA,Cosmere
119,Ashravan,The Emperor's Soul,Sel,Heritage Faction,Cosmere
120,Ashu,Warbreaker,Nalthis,NA,Cosmere
121,Ashweather Cett,Mistborn Era 1,Scadrial,Venture army,Cosmere
122,Ashwin,Skyward (series),Detritus,DDF,Cytoverse
123,Aslydin,Mistborn Era 1,Scadrial,"Seventeenth Shard,[2]",Cosmere
124,Asthta-daughter-Methista,The Stormlight Archive,Roshar,NA,Cosmere
125,Atara,Elantris,Sel,NA,Cosmere
126,Ati,Mistborn Era 1,Scadrial,NA,Cosmere
127,Ati (seon),Elantris,Sel,NA,Cosmere
128,Atlas Butler,The Reckoners,Earth (Reckoners),NA,Independent
129,Atsuko,The Emperor's Soul,Sel,NA,Cosmere
130,Attica Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
131,Attin Balazmed,The Rithmatist,Earth (Rithmatist),NA,Independent
132,Au-lam,The Stormlight Archive,Roshar,NA,Cosmere
133,Au-nak,The Stormlight Archive,Roshar,NA,Cosmere
134,Audil Lekal,Mistborn Era 1,Scadrial,NA,Cosmere
135,Audrey,Legion,Earth (Legion),Aspect,Independent
136,Augustin Tekiel,Mistborn Era 2,Scadrial,NA,Cosmere
137,Aunt Gin,Mistborn Era 2,Scadrial,NA,Cosmere
138,Ausdenec,Mistborn Era 2,Scadrial,NA,Cosmere
139,Australia Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
140,Austre,Warbreaker,Nalthis,NA,Cosmere
141,Av,The Stormlight Archive,Roshar,NA,Cosmere
142,Avado,The Stormlight Archive,Roshar,NA,Cosmere
143,Avarak Matal,The Stormlight Archive,Roshar,Sadeas army,Cosmere
144,Avaran,The Stormlight Archive,Roshar,NA,Cosmere
145,Avena,The Stormlight Archive,Roshar,NA,Cosmere
146,Aving Cett,Mistborn Era 2,Scadrial,NA,Cosmere
147,Axies,The Stormlight Archive,Roshar,NA,Cosmere
148,Axikk,The Stormlight Archive,Roshar,NA,Cosmere
149,Axindweth,The Stormlight Archive,Roshar,NA,Cosmere
150,Aya,Skyward (series),Evershore,NA,Cytoverse
151,Aydee Ecks Smedry,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
152,Azalec,The Emperor's Soul,Sel,NA,Cosmere
153,Azure,"Warbreaker,The Stormlight Archive",Nalthis,Kholinar Wall Guard,Cosmere
154,B. Sablerfils,Mistborn Era 2,Scadrial,NA,Cosmere
155,Ba-Ado-Mishram,The Stormlight Archive,Roshar,Unmade,Cosmere
156,Backbreaker,Firefight,Earth (Reckoners),NA,Independent
157,Badali,The Stormlight Archive,Roshar,"Knights Radiant,Stoneward",Cosmere
158,Bahmen,Mistborn Era 1,Scadrial,Venture army,Cosmere
159,Balat Davar,The Stormlight Archive,Roshar,NA,Cosmere
160,Balsas,The Stormlight Archive,Roshar,NA,Cosmere
161,Balubal Razon,Legion,Earth (Legion),NA,Independent
162,Banks,Skyward (series),Detritus,NA,Cytoverse
163,Baon,"White Sand,The Stormlight Archive",Taldain,"Seventeenth Shard,Dynasty",Cosmere
164,Barb,Legion,Earth (Legion),NA,Independent
165,Barkley,The Rithmatist,Earth (Rithmatist),NA,Independent
166,Barl,Mistborn Era 2,Scadrial,NA,Cosmere
167,Barlesha Lhan,The Stormlight Archive,Roshar,NA,Cosmere
168,Barm,The Stormlight Archive,Roshar,NA,Cosmere
169,Barmest,The Stormlight Archive,Roshar,NA,Cosmere
170,Bashin,The Stormlight Archive,Roshar,Kholin army,Cosmere
171,Basin Bill,Mistborn Era 2,Scadrial,NA,Cosmere
172,Bastien Severington,Mistborn Era 2,Scadrial,NA,Cosmere
173,Bastille,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
174,Bastion,The Reckoners,Earth (Reckoners),NA,Independent
175,Bat'Chor,,Yolen,NA,Cosmere
176,Battar,The Stormlight Archive,Roshar,Diagram,Cosmere
177,Bavadin,"White Sand,Mistborn Era 2",Taldain,NA,Cosmere
178,Bavamar,The Stormlight Archive,Roshar,NA,Cosmere
179,Baxil,The Stormlight Archive,Roshar,NA,Cosmere
180,Beal,The Stormlight Archive,Roshar,NA,Cosmere
181,Beard,The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
182,Beautiful Song,The Stormlight Archive,Roshar,NA,Cosmere
183,Bebid,Warbreaker,Nalthis,NA,Cosmere
184,Becca Nightshade,Skyward (series),Detritus,NA,Cytoverse
185,Bedes,Mistborn Era 1,Scadrial,NA,Cosmere
186,Beggar (Kasitor),The Stormlight Archive,Roshar,NA,Cosmere
187,Bekenah,The Stormlight Archive,Roshar,NA,Cosmere
188,Beld,The Stormlight Archive,Roshar,"Bridge Four,Kholin army,King's Guard",Cosmere
189,Beldre,Mistborn Era 1,Scadrial,NA,Cosmere
190,Ben Oldson,Mistborn Era 2,Scadrial,NA,Cosmere
191,Bendal,Mistborn Era 1,Scadrial,NA,Cosmere
192,Bendthel,The Stormlight Archive,Roshar,NA,Cosmere
193,Benneh,The Stormlight Archive,Roshar,NA,Cosmere
194,Bennitson,Mistborn Era 1,Scadrial,NA,Cosmere
195,Berbrath,White Sand,Taldain,Diem,Cosmere
196,Beryl,The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court,[1]",Cosmere
197,Besk,Perfect State,Alornia,NA,"Wode,States"
198,Betha,The Stormlight Archive,Roshar,NA,Cosmere
199,Bethab,The Stormlight Archive,Roshar,NA,Cosmere
200,Bettam,The Stormlight Archive,Roshar,NA,Cosmere
201,Bevidon,Mistborn Era 1,Scadrial,Luthadel Garrison,Cosmere
202,Beznk,The Stormlight Archive,Roshar,NA,Cosmere
203,Biblioden,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),Librarian,Independent
204,Bidlel,The Stormlight Archive,Roshar,NA,Cosmere
205,Bila,The Stormlight Archive,Roshar,NA,Cosmere
206,Bilg,Mistborn Era 1,Scadrial,"Yeden's,Venture army",Cosmere
207,Bilko,Steelheart,Earth (Reckoners),NA,Independent
208,Bilmy,Mistborn Era 2,Scadrial,NA,Cosmere
209,Bim,Skyward (series),Detritus,NA,Cytoverse
210,Bisig,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Sadeas army,Kholin army",Cosmere
211,Blain Charleston,The Reckoners,Earth (Reckoners),NA,Independent
212,Blantach,Mistborn Era 2,Scadrial,NA,Cosmere
213,Blaze,Skyward (series),Detritus,NA,Cytoverse
214,Bleaker,Mistborn Era 2,Scadrial,NA,Cosmere
215,Blended,The Stormlight Archive,Roshar,NA,Cosmere
216,Blinker,Mistborn Era 2,Scadrial,NA,Cosmere
217,Blome,Mistborn Era 2,Scadrial,NA,Cosmere
218,Bloody Kent,Shadows for Silence,Threnody,NA,Cosmere
219,Bloody Tan,Mistborn Era 2,Scadrial,NA,Cosmere
220,Blue,Mistborn Era 2,Scadrial,NA,Cosmere
221,Blushweaver,Warbreaker,Nalthis,NA,Cosmere
222,Bluth,The Stormlight Archive,Roshar,NA,Cosmere
223,Bob (Skyward),Skyward (series),Detritus,NA,Cytoverse
224,Bob (The Original),The Original,Earth (The Original),NA,Independent
225,Bog,Skyward (series),Detritus,NA,Cytoverse
226,Bookers,Mistborn Era 2,Scadrial,NA,Cosmere
227,Boomslug,Skyward (series),Detritus,NA,Cytoverse
228,Bordin,The Stormlight Archive,Roshar,NA,Cosmere
229,Borea,The Stormlight Archive,Roshar,NA,Cosmere
230,Boriar,The Stormlight Archive,Roshar,NA,Cosmere
231,Boris Junior,Mistborn Era 2,Scadrial,NA,Cosmere
232,Boris the Third,Mistborn Era 2,Scadrial,NA,Cosmere
233,Braches,Mistborn Era 1,Scadrial,NA,Cosmere
234,Brade Shimabukuro,Skyward (series),Starsight,NA,Cytoverse
235,Brainstorm,The Reckoners,Earth (Reckoners),NA,Independent
236,Brakah,Firstborn,,NA,Independent
237,Brekv,The Stormlight Archive,Roshar,NA,Cosmere
238,Brell,Firstborn,,Imperial Fleet,Independent
239,Brettin,Mistborn Era 2,Scadrial,NA,Cosmere
240,Brianlia,The Stormlight Archive,Roshar,NA,Cosmere
241,Brig Dartmoor,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
242,Briggen,The Reckoners,Earth (Reckoners),Reckoners,Independent
243,Briggs,The Reckoners,Earth (Reckoners),NA,Independent
244,Brighthue,Warbreaker,Nalthis,NA,Cosmere
245,Brightlord Morakotha,The Stormlight Archive,Roshar,NA,Cosmere
246,Brightlord Seveks,The Stormlight Archive,Roshar,NA,Cosmere
247,Brightvision,Warbreaker,Nalthis,NA,Cosmere
248,Brill,Mistborn Era 2,Scadrial,NA,Cosmere
249,Broken Wind,Skyward (series),Detritus,First Citizen,Cytoverse
250,Bru,The Stormlight Archive,Roshar,NA,Cosmere
251,Bryn,Skyward (series),Detritus,NA,Cytoverse
252,Buissonommes,Mistborn Era 2,Scadrial,NA,Cosmere
253,Burl (character),Mistborn Era 2,Scadrial,NA,Cosmere
254,Burlow,Mistborn Era 2,Scadrial,NA,Cosmere
255,Bussik,The Stormlight Archive,Roshar,Sadeas army,Cosmere
256,Cabe,Mistborn Era 1,Scadrial,NA,Cosmere
257,Caberel,Mistborn Era 2,Scadrial,NA,Cosmere
258,Cabine,The Stormlight Archive,Roshar,NA,Cosmere
259,Cadilar,The Stormlight Archive,Roshar,NA,Cosmere
260,Cadon,Mistborn Era 1,Scadrial,NA,Cosmere
261,Cads,Warbreaker,Nalthis,NA,Cosmere
262,Caeb,The Stormlight Archive,Roshar,NA,Cosmere
263,Cael,The Stormlight Archive,Roshar,Kholin army,Cosmere
264,Caelinora,The Stormlight Archive,Roshar,NA,Cosmere
265,Calaka,Firefight,Earth (Reckoners),NA,Independent
266,Calamity (Epic),The Reckoners,Earth (Reckoners),NA,Independent
267,Cali,The Stormlight Archive,Roshar,Skybreaker,Cosmere
268,Cali Hatthew,Mistborn Era 2,Scadrial,NA,Cosmere
269,Calinam,The Stormlight Archive,Roshar,NA,Cosmere
270,Caller of Springs,The Stormlight Archive,Roshar,NA,Cosmere
271,Calling War,The Reckoners,Earth (Reckoners),NA,Independent
272,Callins,The Stormlight Archive,Roshar,NA,Cosmere
273,Callins Geffenry,Mistborn Era 1,Scadrial,NA,Cosmere
274,Calmseer,Warbreaker,Nalthis,NA,Cosmere
275,Camon,Mistborn Era 1,Scadrial,Camon's crew,Cosmere
276,Campbell,The Rithmatist,Earth (Rithmatist),NA,Independent
277,Carl Newton,The Original,Earth (The Original),ICON,Independent
278,Carla,Calamity,Earth (Reckoners),Stingray Clan,Independent
279,Carlee,Mistborn Era 1,Scadrial,NA,Cosmere
280,Carmine Feltry,Mistborn Era 2,Scadrial,NA,Cosmere
281,Cassileux,Mistborn Era 2,Scadrial,NA,Cosmere
282,Caull,The Stormlight Archive,Roshar,Amaram's army,Cosmere
283,Cenn,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
284,Cessil,Skyward (series),ReDawn,NA,Cytoverse
285,Cett (coach owner),Mistborn Era 2,Scadrial,NA,Cosmere
286,Chamrav,The Emperor's Soul,Sel,NA,Cosmere
287,Chanada,The Stormlight Archive,Roshar,NA,Cosmere
288,Chananar,The Stormlight Archive,Roshar,NA,Cosmere
289,Chanarach,The Stormlight Archive,Roshar,NA,Cosmere
290,Chanasha Hasareh,The Stormlight Archive,Roshar,NA,Cosmere
291,Chanrm,The Stormlight Archive,Roshar,NA,Cosmere
292,Chapaou,Mistborn Era 2,Scadrial,NA,Cosmere
293,Chapmot Heviers,Mistborn Era 2,Scadrial,NA,Cosmere
294,Charisa of Utaries,Firstborn,,NA,Independent
295,Charles,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
296,Charles Calloway,The Rithmatist,Earth (Rithmatist),NA,Independent
297,Charlington,The Rithmatist,Earth (Rithmatist),NA,Independent
298,Charrs Entrone,Mistborn Era 1,Scadrial,NA,Cosmere
299,Chaz,Snapshot,Earth (Snapshot),NA,Independent
300,Cheeky,Skyward (series),Detritus,NA,Cytoverse
301,Chemoarish,The Stormlight Archive,Roshar,Unmade,Cosmere
302,Chesterton Divide,Shadows for Silence,Threnody,NA,Cosmere
303,Chet,Skyward (series),,NA,Cytoverse
304,Chief Roberts,Snapshot,Earth (Snapshot),NA,Independent
305,Chilinko,The Stormlight Archive,Roshar,NA,Cosmere
306,Chip (constable),Mistborn Era 2,Scadrial,NA,Cosmere
307,Chip (hunter),Mistborn Era 2,Scadrial,NA,Cosmere
308,Chip Erikell,Mistborn Era 2,Scadrial,NA,Cosmere
309,Chiri-Chiri,The Stormlight Archive,Roshar,NA,Cosmere
310,Chivi,The Stormlight Archive,Roshar,Council of Five,Cosmere
311,Chowyun Chin,Legion,Earth (Legion),Aspect,Independent
312,Chubs,Skyward (series),Detritus,NA,Cytoverse
313,Cimines,Mistborn Era 2,Scadrial,NA,Cosmere
314,Cladent,Mistborn Era 1,Scadrial,"Kelsier's crew,Venture army",Cosmere
315,Clamps,Mistborn Era 2,Scadrial,Vanishers,Cosmere
316,Clapper,The Reckoners,Earth (Reckoners),NA,Independent
317,Claude Aradel,Mistborn Era 2,Scadrial,,Cosmere
318,Cled,Mistborn Era 1,Scadrial,NA,Cosmere
319,Cleft-chin,The Stormlight Archive,Roshar,NA,Cosmere
320,Clive,Legion,Earth (Legion),Aspect,Independent
321,Cloak,Skyward (series),Detritus,NA,Cytoverse
322,Clod,Warbreaker,Nalthis,"Five Scholars,Denth's crew",Cosmere
323,Clotide,Mistborn Era 2,Scadrial,NA,Cosmere
324,Cloudbreaker,The Reckoners,Earth (Reckoners),NA,Independent
325,Cob (Mistborn),Mistborn Era 2,Scadrial,NA,Cosmere
326,Cob (Stormlight),The Stormlight Archive,Roshar,NA,Cosmere
327,Cobble,Mistborn Era 1,Scadrial,NA,Cosmere
328,Cody,The Reckoners,Earth (Reckoners),Reckoners,Independent
329,Coldwin,The Stormlight Archive,Roshar,NA,Cosmere
330,Coleman Stewart,Dark One,Earth (Dark One),NA,Independent
331,Coln Abrams,Defending Elysium,,NA,Cytoverse
332,Colot,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Kholin army",Cosmere
333,Condwish,The Stormlight Archive,Roshar,NA,Cosmere
334,Conrad,Mistborn Era 1,Scadrial,Venture army,Cosmere
335,Copper Strangler,Mistborn Era 2,Scadrial,NA,Cosmere
336,Corberon,The Stormlight Archive,Roshar,NA,Cosmere
337,Corbin,Skyward (series),Detritus,NA,Cytoverse
338,Cord,The Stormlight Archive,Roshar,NA,Cosmere
339,Coreb,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
340,Corgi,Skyward (series),Detritus,NA,Cytoverse
341,Corl,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
342,Cormshen,The Stormlight Archive,Roshar,NA,Cosmere
343,Corvana,The Stormlight Archive,Roshar,NA,Cosmere
344,Cosahn,Mistborn Era 1,Scadrial,NA,Cosmere
345,Court Judge,Dark One,Earth (Dark One),NA,Independent
346,Coussaint,Mistborn Era 2,Scadrial,NA,Cosmere
347,Creer,The Stormlight Archive,Roshar,,Cosmere
348,Creer boys,The Reckoners,Earth (Reckoners),Coven,Independent
349,Crenda,Mistborn Era 1,Scadrial,NA,Cosmere
350,Cressa,The Stormlight Archive,Roshar,NA,Cosmere
351,Crews Geffenry,Mistborn Era 1,Scadrial,NA,Cosmere
352,Crossmark,The Reckoners,Earth (Reckoners),NA,Independent
353,Crystallix (Epic),The Reckoners,Earth (Reckoners),NA,Independent
354,Culee,Mistborn Era 1,Scadrial,NA,Cosmere
355,Cuna,Skyward (series),Starsight,"Department of Species Integration,Superiority",Cytoverse
356,Curveball,The Reckoners,Earth (Reckoners),NA,Independent
357,Cusicesh,The Stormlight Archive,Roshar,NA,Cosmere
358,Cyn,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
359,Cynder,White Sand,Taldain,NA,Cosmere
360,Da,The Stormlight Archive,Roshar,NA,Cosmere
361,Daal,Mistborn Era 2,Scadrial,NA,Cosmere
362,Dabbid,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army,Kholin army",Cosmere
363,Daggon,Shadows for Silence,Threnody,NA,Cosmere
364,Dahad,Elantris,Sel,NA,Cosmere
365,Dai-Gonarthis,The Stormlight Archive,Roshar,Unmade,Cosmere
366,Daius,Mistborn Era 2,Scadrial,NA,Cosmere
367,Dakhnah,The Stormlight Archive,Roshar,NA,Cosmere
368,Dalar,The Stormlight Archive,Roshar,Amaram's army,Cosmere
369,Dali,The Stormlight Archive,Roshar,NA,Cosmere
370,Dalinar Kholin,The Stormlight Archive,Roshar,"Knights Radiant,Bondsmiths,Kholin army",Cosmere
371,Dalinar's father,The Stormlight Archive,Roshar,NA,Cosmere
372,Dalksi,The Stormlight Archive,Roshar,NA,Cosmere
373,Dallet,The Stormlight Archive,Roshar,"Amaram's army,Kaladin's squad",Cosmere
374,Dan,The Reckoners,Earth (Reckoners),NA,Independent
375,Dandos Heraldin,The Stormlight Archive,Roshar,NA,Cosmere
376,Danlan Morakotha,The Stormlight Archive,Roshar,Diagram,Cosmere
377,Dao,Mistborn Era 2,Scadrial,NA,Cosmere
378,Daora,Elantris,Sel,NA,Cosmere
379,Daorn,Elantris,Sel,NA,Cosmere
380,Darcira,The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court,[1]",Cosmere
381,Darkness Infinity,The Reckoners,Earth (Reckoners),NA,Independent
382,Darkwater,Mistborn Era 2,Scadrial,NA,Cosmere
383,Darla Mee-Bim,Skyward (series),Detritus,NA,Cytoverse
384,Darlin Cett,Mistborn Era 2,Scadrial,NA,Cosmere
385,Darm (Mistborn),Shadows of Self,Scadrial,NA,Cosmere
386,Darm (Rithmatist),The Rithmatist,Earth (Rithmatist),NA,Independent
387,Darriance,Mistborn Era 2,Scadrial,NA,Cosmere
388,Dashe,Elantris,Sel,NA,Cosmere
389,Dashir boys,Mistborn Era 2,Scadrial,NA,Cosmere
390,Daughnin,Mistborn Era 2,Scadrial,NA,Cosmere
391,Davenport,Legion,Earth (Legion),NA,Independent
392,David Charleston,The Reckoners,Earth (Reckoners),Reckoners,Independent
393,Davim,The Stormlight Archive,Roshar,Council of Five,Cosmere
394,Davis,The Rithmatist,Earth (Rithmatist),NA,Independent
395,Dawnslight,Firefight,Earth (Reckoners),NA,Independent
396,Daystorm,The Reckoners,Earth (Reckoners),NA,Independent
397,Dead Drop,The Reckoners,Earth (Reckoners),NA,Independent
398,Dean,Mistborn Era 2,Scadrial,Ghostbloods,Cosmere
399,Dean Knighthawk,Calamity,Earth (Reckoners),NA,Independent
400,Deathpoint,The Reckoners,Earth (Reckoners),NA,Independent
401,Deathrise,The Reckoners,Earth (Reckoners),NA,Independent
402,Dechamp,Mistborn Era 2,Scadrial,NA,Cosmere
403,Dechane,Mistborn Era 2,Scadrial,NA,Cosmere
404,Dedelin,Warbreaker,Nalthis,NA,Cosmere
405,Dedri Vasting,Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
406,Deedanor,The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
407,Deeli,The Stormlight Archive,Roshar,NA,Cosmere
408,Delgo,The Stormlight Archive,Roshar,Diagram (group),Cosmere
409,Delius,White Sand,Taldain,"Taishin,Helm",Cosmere
410,Delius's son,White Sand,Taldain,NA,Cosmere
411,Delp,The Stormlight Archive,Roshar,"Bridge Four,Sadeas army",Cosmere
412,Deluse Couvre,Mistborn Era 1,Scadrial,NA,Cosmere
413,Dem,The Stormlight Archive,Roshar,Amaram's army,Cosmere
414,Demid,The Stormlight Archive,Roshar,NA,Cosmere
415,Demmy,Mistborn Era 2,Scadrial,NA,Cosmere
